#Selected Im1,#Selected Im2,Image 1,Image 2,Ratio chosen,Experiment Target
19,2,REAL_1,GAN_0,0.09523809524,GAN_REAL
3,20,GAN_8,REAL_5,0.1304347826,GAN_REAL
3,18,GAN_1,REAL_4,0.1428571429,GAN_REAL
3,18,GAN_5,REAL_2,0.1428571429,GAN_REAL
34,8,REAL_6,GAN_4,0.1904761905,GAN_REAL
23,6,REAL_3,GAN_6,0.2068965517,GAN_REAL
16,5,REAL_0,GAN_7,0.2380952381,GAN_REAL
16,5,REAL_10,GAN_3,0.2380952381,GAN_REAL
5,16,GAN_2,REAL_9,0.2380952381,GAN_REAL
5,16,GAN_9,REAL_8,0.2380952381,GAN_REAL
3,20,LCC_1,GAN_3,0.1304347826,LCC_GAN
17,4,GAN_7,LCC_2,0.1904761905,LCC_GAN
17,4,GAN_1,LCC_3,0.1904761905,LCC_GAN
6,23,LCC_8,GAN_2,0.2068965517,LCC_GAN
5,19,LCC_6,GAN_6,0.2083333333,LCC_GAN
7,26,LCC_10,GAN_0,0.2121212121,LCC_GAN
5,16,LCC_4,GAN_10,0.2380952381,LCC_GAN
15,8,GAN_5,LCC_7,0.347826087,LCC_GAN
11,10,GAN_9,LCC_9,0.4761904762,LCC_GAN
11,10,GAN_4,LCC_5,0.4761904762,LCC_GAN
20,1,REAL_5,LCC_7,0.04761904762,LCC_REAL
1,20,LCC_6,REAL_1,0.04761904762,LCC_REAL
1,20,LCC_1,REAL_10,0.04761904762,LCC_REAL
19,2,REAL_0,LCC_10,0.09523809524,LCC_REAL
3,25,LCC_2,REAL_8,0.1071428571,LCC_REAL
44,7,REAL_2,LCC_5,0.137254902,LCC_REAL
3,18,LCC_8,REAL_9,0.1428571429,LCC_REAL
6,31,LCC_0,REAL_3,0.1621621622,LCC_REAL
17,4,REAL_7,LCC_9,0.1904761905,LCC_REAL
18,7,REAL_6,LCC_3,0.28,LCC_REAL
